V1,Control.M.6-Rapamycin.M.6_logFC,Control.M.6-Rapamycin.M.6_logCPM,Control.M.6-Rapamycin.M.6_LR,Control.M.6-Rapamycin.M.6_PValue,Control.M.6-Rapamycin.M.6_FDR
Fxyd6,-4.12957304624949,-0.493684857681883,14.0027535762306,0.0001825431097519,0.0607944615103202
Slc22a27,-1.8558359707789,3.6486927953905,8.01875015838196,0.0046295508476963,0.35135685245961
Lgals1,-1.96603190766449,3.28164759533132,17.6964698312253,2.59107018045799e-05,0.0155687011523183
Gm7079,-4.40503308922799,-0.789577324945241,10.8770748103045,0.0009736189719466,0.156497804299642
Actc1,-3.97914515206297,0.0475653759608525,5.15113886143196,0.0232311318049182,0.637567434243232
Ctxn3,-7.47764527232037,-2.37292670341713,4.49186799366779,0.0340564450663147,0.700032246508715
Sult3a1,3.86808872648115,5.66211285490086,11.7129056511326,0.0006206812714606,0.118659188137896
Gm8054,-2.95852797645569,-0.783969621921847,8.24948054212278,0.0040763664496681,0.322597990417796
Lrrc8b,-1.67427645984235,0.386038441694867,9.2930505320607,0.0023002479507011,0.245145091599394
Ifi213,-3.50910567190138,-1.2876309972173,6.71771593966066,0.0095459803758535,0.49226465254321
Cox7a1,-2.14425430287979,0.580939163239718,10.8100130959064,0.0010095258842075,0.156497804299642
Cib3,2.53834377258649,-0.635280011407057,5.02598724475618,0.0249696868143157,0.647252162126119
Sult2a3,3.35276527133858,4.04813809419021,4.46433232824283,0.0346096131580048,0.704801625406198
Ism1,-2.9062458758105,-1.55921869549976,8.73166920791791,0.0031273006876257,0.288977045042688
Cyp3a41a,1.67681211055705,8.53647417761758,6.12855702192816,0.0133015390993992,0.541821264245182
Ly6a,-1.89351279243575,3.64074039956261,5.62540709382083,0.0177019539501419,0.585698103514979
Cyp11b1,-8.90740252807627,1.90126675521848,6.63643088019866,0.0099913909305134,0.504467118587142
Gm20900,-3.31670411859758,-1.01290923726781,5.25929489744355,0.021829861110267,0.627812803486294
Il11ra2,-1.63406303718399,0.293516790961094,5.78063849700357,0.016203654156998,0.5764675217627
