V1,Control.M.6-Acarbose.M.6_logFC,Control.M.6-Acarbose.M.6_logCPM,Control.M.6-Acarbose.M.6_LR,Control.M.6-Acarbose.M.6_PValue,Control.M.6-Acarbose.M.6_FDR
Aldh3b2,3.65807654203711,-2.10809814100327,4.06775802268029,0.0437092516528711,0.673824576921042
Ly6a,-3.79184253186296,3.64074039956261,19.4355676582185,1.04051128181701e-05,0.0415840333778168
Dio3,3.63529399011095,-1.49377026333936,11.0773777118207,0.0008738729290651,0.260420341194753
Ighg2c,4.73892934119614,-1.14190311107075,11.0553271914229,0.0008843273843405,0.260420341194753
Il11ra2,-1.57243659478419,0.293516790961094,5.27014794600459,0.0216941688189721,0.597236712639518
R3hdml,2.0334019784404,-1.1819458004146,8.336284769889,0.0038860986087852,0.403397223117145
Xlr4a,3.60146497915053,-2.14237383467503,3.87800313399136,0.0489227120307024,0.679739062586295
Rpsa-ps12,-1.5759884783309,2.96140055385,10.9882261401501,0.0009169252947234,0.260420341194753
Gm12933,-3.44096903054023,-1.64684920004592,5.32219684095524,0.0210554503205384,0.595553153380461
Gm12599,-2.19906842335027,-1.33785089432386,5.50676535410287,0.0189430490567998,0.579623658004128
Gm15483,-1.53298018659247,-0.392442991372194,4.85409804883864,0.0275805304675452,0.619418572868227
Mup-ps10,-1.8276455532657,2.1139206207167,5.99918685030295,0.0143124735828123,0.542178205438003
Gm13339,-2.87305917756267,3.97659806934565,14.3932605354648,0.0001483322381644,0.10964137915608
Sycn,-6.88529473857812,-2.16805626526352,5.82538960180434,0.0157964693963607,0.554583440321399
Mup-ps20,3.31946686159633,-2.64947459871486,4.11424981904799,0.0425233803973085,0.669497400582966
5830444B04Rik,-4.0318351892673,-2.17694242088128,4.08305865853068,0.0433151828330032,0.672268458998436
Gm16008,1.65050516637798,-1.18146007619648,4.93732718289165,0.026282648919332,0.611802228033091
A230005M16Rik,-1.73634783577055,-0.530030029086759,3.97896159136242,0.0460719575862758,0.674208370750461
Gm6576,-1.56400128203664,3.66729608774784,7.91167948282147,0.0049116649367464,0.41543849565518
Cyp2c69,-2.67762323386032,6.56924348199842,14.8571563897623,0.0001159672357411,0.105780800100144
Amy2a3,-9.59394946614289,-1.370921423118,8.06914140977876,0.0045025446586466,0.405384999354073
Mup-ps7,2.99385185881222,-1.45062312752572,7.70094556407055,0.005519190495789,0.434692902843777
Gm14403,1.8149056948332,1.90377844442603,10.5383150403249,0.0011692496845017,0.290994156390542
Igkv3-2,4.88742424545574,-2.0130167110661,9.32529947649844,0.0022601137901905,0.339576936017237
Gm17222,4.27344173132452,-1.56296857020461,9.4618770450438,0.0020978628855998,0.332043921675243
Amy2a2,-7.82949228872251,-1.38337504816584,5.64573421730501,0.0174978877245439,0.565306724888478
Rps19-ps1,-4.18694978303318,-0.795631213932908,9.32061289553145,0.0022659018802443,0.339576936017237
Igkv3-4,3.84557799432007,-1.88753926396223,5.10803390137876,0.0238152937345417,0.605236212656939
Rian,-1.57782284020128,1.73803752895222,4.03806032816736,0.0444849234620218,0.673824576921042
Gm37090,1.6750107707882,-0.56027441233808,5.93211408107036,0.0148673953395506,0.549619952504466
Gm5851,-3.71367568598052,-0.50880974016956,6.87901880614591,0.008721342869467,0.479119177072695
Gm31121,-2.23908879197996,-1.38256819462713,5.83289620343597,0.0157292074934148,0.554583440321399
Gm43401,1.55082993252683,-1.54936072208981,4.5294618186024,0.0333160934479827,0.645832444428499
Gm6450,4.54779835824872,-1.39242007114793,10.9434172552455,0.0009393675579644,0.260420341194753
Cyp2a21-ps,-1.78450086354797,3.05894604323477,4.9119098952183,0.0266721333617457,0.611802228033091
Gm6916,2.15420231038693,-1.10031131166495,5.42677709846883,0.0198302438653363,0.580597579544443
Gm31105,1.8945580582102,-0.997268937732857,6.48762280268014,0.0108628143532393,0.510268454480301
Gm45606,1.62097076351663,-1.03269331879497,12.2732159458347,0.0004595057289263,0.216718402569617
Gm45640,2.32396208491673,-0.609070645459811,8.18172834872377,0.0042314424427859,0.405052927487279
Gsta13,-2.43740946803746,2.84569877104847,9.02315342490188,0.002665810932214,0.364236355233966
Gm47154,-2.44418068789609,-0.574284448364876,6.98474688477493,0.0082207278437379,0.475480474372595
Gm2436,2.02257300962083,-1.00991806102167,7.04379141014999,0.0079540477949783,0.470783258317003
Gm47939,2.50200353244888,-1.52252945353597,3.98916486553129,0.0457937564048967,0.674208370750461
Gm47015,1.78395030652031,-1.34445290650972,5.44882405896067,0.019581503086612,0.579623658004128
Dio3os,1.77356060846772,1.32267324584425,6.93854636254711,0.0084357640722369,0.475480474372595
Gm8483,-3.70891402167975,-1.80612727277141,5.11812848905178,0.023677138760574,0.605236212656939
Gm31600,1.64559810550376,-1.32817008076668,4.33403613419112,0.0373575618900728,0.661742761185674
Gm7232,-1.58420835676551,1.19642161245604,3.86725066257418,0.0492371146716064,0.679739062586295
Cyp2d35-ps,1.8888677260731,-1.40312691692018,5.46604251620192,0.0193894835261378,0.579623658004128
Rpsa-ps7,-2.30909526343206,2.82750892795929,9.62964585773575,0.0019146152253504,0.328434574940626
Gm7059,-3.04218163530503,0.813110116807959,4.22234142953484,0.0398950724633801,0.669314826573499
Gm36787,1.74415552944697,-0.78428851068077,6.66187589273534,0.0098497175504745,0.49524068129102
Gm50357,4.82944326415168,-1.7592565307616,11.2598594249788,0.0007920120869064,0.260420341194753
Ahnak2,1.62801913729098,-0.552468077941858,4.13279581807009,0.0420598085221818,0.669314826573499
Gm32006,-2.83560524905688,0.865460102979743,8.01507623924768,0.0046389520969048,0.40857205094805
Gm56505,-3.14522404738572,0.0077495366064065,10.7957472773651,0.0010173353705479,0.270464499839037
Gm57428,-1.89057365721754,0.465543997867499,13.8836530145594,0.0001944826838136,0.132666724108178
Gm55175,-2.95710753576847,1.32810295892069,7.47642344350751,0.0062512123586375,0.44608157709414
Gm55531,-1.81998035046784,1.15983860345422,3.93947954581907,0.0471653674908664,0.674208370750461
