V1,Control.F.6-alphaestradiol.F.6_logFC,Control.F.6-alphaestradiol.F.6_logCPM,Control.F.6-alphaestradiol.F.6_LR,Control.F.6-alphaestradiol.F.6_PValue,Control.F.6-alphaestradiol.F.6_FDR
Mrap2,6.76286705715647,0.232722160527215,7.52640666039264,0.0060801060556363,0.135371274937887
Slc16a13,1.64044813835545,1.16758797856416,9.59253363938961,0.001953701724375,0.0766966483375545
Rps2,2.09322187183832,7.94380733120017,4.22033705354238,0.0399422257524197,0.327383985781516
Tubb2b,1.52048001742877,3.69696873440951,6.90579096784808,0.0085917008469212,0.158599226026424
Smtnl2,-1.65466282480759,-0.378851274696482,5.63849535198071,0.0175702796768096,0.22854230342838
D830044D21Rik,-1.81133879056894,-0.5460733977328,10.0847260149988,0.0014950339066456,0.066387811198992
Chrm3,-2.22654576502743,0.346672566392687,21.2164760420764,4.10222895565676e-06,0.0026231292834051
Ttc34,-4.0447883179005,-1.37931373637719,13.8310583371114,0.0002000026910039,0.0268623725443546
Sstr2,-1.76289073733324,-0.570980237002258,6.97790758645942,0.0082522036565038,0.154786648889664
Ckap2l,-2.17305608517834,-1.93738295013637,3.98254907697937,0.0459739391990834,0.351141611102029
Fam171b,-1.54067860756687,0.0038550186211086,7.68553245085037,0.0055665254112801,0.128222586779141
Prss50,-1.72490957958437,-1.0088373510589,6.12929519495987,0.0132959864959718,0.199218080462983
Rarres1,2.03400075022554,5.48520181149059,13.0070828620196,0.0003103149826591,0.0332932571328079
Cyp2g1,-2.18012514274503,2.62859402935436,21.0312916632358,4.51843203635676e-06,0.002625206106349
Cd209f,-2.27201473339667,-1.34223673110871,4.58685730841114,0.0322180364330629,0.292280507586693
Fpr2,-1.81991497891929,-0.774227708633174,8.93884395612724,0.0027916934811478,0.0905043481964551
Zfp14,-2.9126728200279,-0.613750944267872,8.8451950299626,0.0029386149523649,0.0918162210537648
Rdh19,3.80957759307864,-0.0795374564346565,7.85171755183482,0.0050772449289341,0.122501036352346
Lrtm2,-3.01899493258438,-0.559926473235917,7.08028362198554,0.0077936673649247,0.150470490936819
Fabp3-ps1,-2.48272770723463,-1.12134123898788,3.85754123934785,0.049522852151568,0.363838676030091
Med12l,-1.58591404227644,0.253122994787436,5.80931764639566,0.0159414785564957,0.219993699459755
Tmt1a2,-3.42872295017441,-0.881240775433068,10.4877778753494,0.00120166809242,0.0594413064051464
Hamp2,6.59617387800744,8.01564915113789,11.5016600801616,0.0006953405997289,0.0463154784469463
Prtn3,-3.36309888482862,-0.705912324374984,6.85728316127036,0.0088280677157014,0.16110215810868
Nfe2,-3.39066826799843,-0.0021264944121235,19.6639585741674,9.23263951985495e-06,0.0037844352657538
Myl3,-6.56793996057786,0.909334969368564,6.54423494332435,0.0105224567382861,0.174856542014804
Dbp,-2.28071097738165,5.96679013967269,5.66447926052936,0.0173118557550128,0.227108869395123
Klk1b22,-4.6477373975375,-2.09346451241342,3.91168919643621,0.0479513774582568,0.359108208145574
Obp2a,-4.54756148332469,5.23179783569363,12.0253302543995,0.0005248239865415,0.0407519192564477
Gm10136,-1.95749835965608,2.87986686634906,14.9344895894288,0.0001113093590972,0.0195537518080143
Hmgn3,-2.41797102376735,-1.25856652024966,10.6731784816769,0.0010870017467103,0.0575267701991644
Klk1b4,-2.21096131981688,0.444773477906766,12.9524574199274,0.0003195018210129,0.0338248749053795
Slc22a7,1.68735377259073,5.71782090895516,13.0735128504285,0.0002995009129769,0.0327649630714109
Actc1,-7.06705166228076,0.0475653759608525,11.876967561935,0.0005683239867723,0.0418560681146717
Ddx3y,-2.03246135245257,4.89777764609589,7.05379470858821,0.0079097511784805,0.151485967046182
Cd300ld3,-1.6302197327896,0.086105892467405,7.10539924702316,0.0076852105586954,0.149459581497938
Cd300ld4,-1.69155053576019,-1.35488784617694,5.81126621443049,0.0159238247717945,0.219993699459755
Sult3a1,1.84734006749814,5.66211285490086,6.95227800040954,0.0083712569817068,0.155611943184796
Ccnd1,1.71989947170872,4.89201010072087,10.7164367514033,0.0010618796995901,0.0575267701991644
Nalf2,3.62618092010664,0.0136220260147402,3.9366625274256,0.0472444202033846,0.356719466887404
Zfp9,2.34173344418237,0.348442022605289,24.3621990575626,7.98196679538106e-07,0.0011599974653723
H2-Bl,-3.90123984469016,0.711016037355571,13.4328069563113,0.0002472618666239,0.0306413038748061
Ccl27a,-1.88178957690657,1.91762381817408,4.30584355477629,0.0379816542251746,0.317228173690513
Gm5921,2.17518351221572,1.84299464681037,4.6314956901071,0.0313901875321077,0.289785993985963
Tnfaip8l3,-2.67677043784957,-0.494263273346161,12.3659786744061,0.000437228314971,0.0384040211160848
Gm10680,1.92821014753062,4.06374801853623,16.9421327236626,3.85366906337036e-05,0.0100991399421375
Sult2a3,-1.98959623805367,4.04813809419021,4.41811086480806,0.0355593843818992,0.305948503083445
Gm15441,1.89444415181351,2.60792653985441,10.2204031199737,0.0013889548933273,0.0643589360137109
Zfp872,-2.20848190769359,-1.12283791303665,9.25712645307456,0.0023458079913104,0.0838928110717885
Bglap3,-2.64842641739605,-1.28932461222399,6.58737526083309,0.0102704486285921,0.172461545983901
Arrdc3,1.52699861427629,7.03994531533559,7.12597842311516,0.0075974943312747,0.149459581497938
Igkv8-16,4.48504354726957,-2.55062823148185,5.64442912284682,0.0175109164819663,0.228513886433236
Ighg3,3.70778126316896,-1.13162589057863,9.00430074135108,0.0026934502359609,0.0895166226030595
Klhdc7a,-1.55891853985587,5.51016229237126,18.4731716184839,1.72312921859128e-05,0.0056999246574809
Mup20,-3.03850091436655,9.5774323921205,20.804454247732,5.08645278274894e-06,0.002625206106349
R3hdml,-3.14083082377876,-1.1819458004146,16.0683062084189,6.10980896081667e-05,0.0131988386550832
Gm11787,-1.59428786282564,-0.121876962274011,8.76277227553665,0.0030744136860093,0.0939724229150011
Gm6285,2.89765354385942,-0.47800384643753,4.09280348368779,0.0430661537332317,0.340314939514233
Gm14279,3.55655960665493,-0.199243778922677,6.75290624452371,0.0093595109297507,0.165665711646835
Gm14200,3.88204840487208,-1.58947996291921,5.72138738559227,0.0167594824469942,0.22448322952366
Glns-ps1,1.5961917204012,2.97319164330735,5.71802903510866,0.0167915695392841,0.22448322952366
Gm11824,-1.50867230038175,0.937178742435561,4.57132010255114,0.0325115030491354,0.293682148507969
Mup-ps19,-2.22404270211122,7.36855098053236,5.38009989466983,0.0203677117853336,0.243981018768
Gm13339,1.62997113040563,3.97659806934565,7.16937302700657,0.0074158688770049,0.148187599834751
Gm16063,-2.32568327054235,-0.638496768302169,9.67637166832968,0.0018665286795617,0.0749432816741978
Gm6270,1.95247108531386,-1.64712058879319,4.12400129931849,0.0422789686578475,0.338274070552728
Gm13522,-1.9809603140493,-0.277083562631596,10.8627033387282,0.0009812035855043,0.0558548826220659
Timd7-ps,3.57164215081661,-1.23348713385092,6.75122961541354,0.009368309979278,0.165665711646835
Faxdc2,-2.07176574919883,-0.0969943241023162,12.6057112610665,0.0003845698749753,0.0361951325516588
2810408I11Rik,-2.9362175899587,-0.910813092857067,11.9255961795464,0.0005536790561305,0.0415423944316671
1700023H06Rik,1.77703341394845,-0.398959223803748,4.45004070832239,0.0349004147922345,0.303131787133009
Mup-ps16,-2.06752403792474,0.497866754470689,4.18038397397378,0.0408944346459677,0.331174484422715
Sult3a2,2.0685808611461,3.6093550622776,5.66768695649228,0.0172802266031449,0.227108869395123
Rps2-ps10,-2.09541092709879,7.96963949912544,7.58457967807203,0.0058869688601641,0.132734956556537
AA465934,2.61242510981733,0.712451016250408,11.1109740905378,0.0008581840659465,0.0521632337574957
Rpl31-ps14,-2.51597810960348,0.127660873282305,8.41888988285861,0.0037134245499672,0.103419520654664
Mup-ps6,-2.5437809269232,-1.59829673063867,4.25051895540514,0.039238338228938,0.323832769709759
Gm21451,-2.21883776978724,-1.40450687974469,9.67497830149862,0.0018679447627979,0.0749432816741978
Erdr1x,1.90543515832832,4.20594462731009,12.1830179109103,0.0004822655613311,0.0397396766156723
Erdr1y,1.82617436867181,4.23611020735282,12.7029357166349,0.0003650819764721,0.0353049622368282
Cyp2d12,-1.71181822746916,1.00335529019676,6.33904201492476,0.0118108653592333,0.1859663008841
Gm17971,-1.67404994871726,-0.764970711648287,7.55877184230987,0.0059718675745957,0.13432953985474
Gm38357,-2.05841211271829,-1.4571586467259,6.02351802835119,0.0141164797968768,0.205057506909578
Rpl21-ps10,-2.0481566789482,0.702519033262411,6.03099358040326,0.0140568186066959,0.205057506909578
Gm43305,-4.33782549810998,2.02871849573922,8.2156327554321,0.0041531030732866,0.109703206509096
Gm6135,-3.13088727339614,2.16551571151841,34.804684096784,3.6449545169116705e-09,3.90228666820637e-05
Gm9419,2.91596963908794,-1.5729214409648,3.98685388048382,0.0458566119974244,0.350797635657937
Gm43549,-1.82373414726244,-1.15804858215559,4.13220089557572,0.0420745963197705,0.337455179986808
Gm4754,2.17070797682385,-0.716663809317145,3.85513214712817,0.0495940198941796,0.36384748861781
Gm45083,-1.55416186374915,0.105808778045255,16.5554051858286,4.72491167523369e-05,0.0116203750831209
Gm44662,2.83062737928872,4.04835642717381,9.02746168977484,0.0026595352502365,0.089505958969013
Gm44964,4.31172100985411,-2.29611284283549,4.07500493304124,0.043522138981349,0.342004096641376
Gm18959,1.76196392413121,0.110022286299978,11.2100462300067,0.0008135569291667,0.0509071490028895
Gm44992,-2.80124793168068,0.849578683636581,4.12758764639682,0.0421894520125411,0.337898807466046
Gm44744,-1.96076471194912,-0.348096891871299,12.9851207358864,0.0003139760928711,0.033461478804252
Gm31522,-2.05975985847176,-1.11896787701247,4.213604178545,0.0401010464621008,0.327737898130441
AI314278,-3.28239168405052,-2.66651354516873,4.0112616288333,0.0451973179793953,0.348288623811896
Gm31105,-2.89369275747194,-0.997268937732857,13.1233001450022,0.0002916458503614,0.0326031507963533
Gm45819,-3.04797810408595,0.792439017119501,8.85388562317414,0.0029246562097987,0.0917474876408667
Gm38416,-2.52883961510943,0.883603899185559,9.99904715946929,0.0015662124196546,0.0680366079907601
Gm4316,-2.41588334992051,-0.217743308670276,5.02746927101776,0.0249483277066931,0.262945808898916
Gm42047,-1.91725228044149,4.28845078306912,8.56722455111593,0.0034226851578535,0.0987933148487245
Gm47528,2.05477313571631,1.72779428955172,21.1169354971733,4.32092505848252e-06,0.002625206106349
Gm47154,2.47829758603169,-0.574284448364876,7.46258859509886,0.0062994356724354,0.136453957132642
Gm47935,2.42446251740519,-2.02785058394608,5.88327455276704,0.0152853684750488,0.215245015936201
Gm47761,-2.16361731004892,-0.701664973387238,9.27249519800834,0.0023262058543833,0.0838928110717885
Gm35696,2.18163439611732,1.77860880556374,4.92619931894262,0.0264524352945016,0.268138536608089
Gm47644,-3.12711255997872,-2.05234199563678,5.36849554223821,0.0205036548614451,0.244333042958396
Gm5628,-2.08906833290014,-1.09354844072283,7.98044714509437,0.0047285261277648,0.11755866046415
Gm49011,2.9103717161438,-0.9944153661712,4.12101167535997,0.0423537434328397,0.338416842939373
Gm7232,1.54205107303118,1.19642161245604,4.30903004474909,0.0379105713111905,0.317228173690513
Gm49495,1.65407130375725,-1.00214327654606,6.88641602275635,0.008685323536092,0.15956362451335
Gm1600,-2.05236420681715,0.49448944025352,13.599598683023,0.0002262338843293,0.0294030477633204
Gm16385,-1.92641979821635,-1.28383158788763,5.35580065655418,0.0206534490171963,0.244721977884607
Gm6883,-2.06334220524815,-0.893267753329084,4.93899816958508,0.0262572513602219,0.267185499837369
Gm4949,2.93685277255841,0.231388527059631,8.9281463867342,0.0028080918744802,0.0905043481964551
Gm6192,-2.30990783742178,-0.834667089088457,8.48802343745785,0.0035749198080677,0.100999449656932
Mir692-2,2.37487757488013,1.26398697198848,4.32896246531729,0.0374690786463414,0.315959743024383
Gm32006,2.33662793409733,0.865460102979743,5.11993135834361,0.0236525522287761,0.258611225954724
Gm56662,-1.83793649769105,-0.0518482421818682,10.5796300421294,0.001143405391898,0.0582117152703248
Gm57147,-4.23706352076997,-0.470995484891648,10.3915810603849,0.001265911803213,0.0614430846341418
Gm57001,-1.62027077322441,0.141902819072666,9.43628296963297,0.0021273421596855,0.08001809826996
Gm56905,-1.86335720358058,-1.07039648287698,8.60557489194502,0.0033513556533037,0.0986214313643125
Gm57407,2.53517399537478,-1.83162664108457,4.0139031708499,0.0451265666730826,0.348288623811896
