V1,Control.F.6-CR.F.6_logFC,Control.F.6-CR.F.6_logCPM,Control.F.6-CR.F.6_LR,Control.F.6-CR.F.6_PValue,Control.F.6-CR.F.6_FDR
Them5,-3.25538391370963,-2.05232230856342,6.45628116113748,0.0110560796067529,0.0662204902935752
Rorc,-2.76870187079079,5.92608926062936,108.559266306192,2.02697839864015e-25,3.2403276680661502e-21
Bdh2,-1.74399628806349,3.17642286645473,34.4584917570077,4.35438893112837e-09,7.91014334693388e-07
Nr4a3,-3.11925047403262,-1.71801603960164,6.67068664496117,0.0098011420669255,0.0610128726954331
Cavin4,-6.7684284125674,-2.89446364831151,5.55011627007122,0.0184794593820726,0.0940505054701728
Fmn2,1.87769547705198,1.10032062515205,10.2194934636789,0.0013896401124524,0.0152994399708439
Ptgr1,-2.60526239164091,1.3159638280695,34.117142938145,5.18920862326009e-09,9.01681402732997e-07
Tpm2,-5.12118416548282,3.11308332695375,15.6730966338631,7.52874952809405e-05,0.0018318811256638
Ak4,-1.86401544561784,6.88617757361169,42.1432766836942,8.4825075126415e-11,2.71202730194174e-08
Cyp4a31,1.72731186505006,6.22895610647876,11.3376753899054,0.0007595033604642,0.0098630550124955
Pdzk1ip1,-1.89230497024285,0.554360778867491,7.16373812300832,0.00743920043673,0.0503058621749439
Pla2g2f,-6.29812642903978,-3.05686581601565,4.29381680671001,0.0382512030433967,0.154064936218629
Trim63,-4.14173680704661,-2.3534247335789,4.58463489674828,0.0322598432874621,0.137228806491051
Smpdl3b,-1.85956807269946,-0.411237079057849,11.4844358995057,0.0007018142461112,0.0093299382579512
Per3,-2.26568690815982,4.40121093549117,8.13897942009582,0.0043323661369897,0.0342518323768137
Mthfr,1.57994717257696,3.6257348544446,9.63592028673082,0.0019080857792877,0.0191359217488669
Plch2,-2.84027206260273,-2.2409528984757,5.0626852613718,0.0244463320632822,0.114839572249083
Evc,1.5200630417568,1.46600195395774,5.80956996166967,0.015939191475018,0.0849192951841313
Cgref1,2.25211832787297,0.436533176965551,12.6686853853282,0.0003718308799053,0.0059920246433128
Nos1,-3.08632502142416,-2.03971565972403,6.89186296536283,0.0086588980537172,0.0557700017271251
Aacs,-1.94084725471316,6.02359973326846,14.1893198382624,0.0001653061227674,0.0032880801532964
Slc46a3,-1.81976568336426,5.57467232126597,38.5311890584088,5.38856369805425e-10,1.36732665519199e-07
Lmod2,-4.49996489483206,-0.973261465773161,10.4055097737173,0.001256398739768,0.014311617800347
Sspo,-2.17842766080558,0.618484662709112,27.9774882824417,1.22735001471643e-07,1.24179856552258e-05
Nfe2l3,-1.97415355770484,-1.24739444229156,7.46088827727529,0.0063053885132022,0.0448112977522307
Usp18,1.51108587356843,2.55772305408814,14.569158180421,0.0001351078889666,0.002849386164936
Mug2,3.5676666213141,7.74728981107016,11.0506112894923,0.0008865796193068,0.0111072584594349
Erp27,-2.93790787553142,0.0604478742273256,20.4257038542611,6.19915612440516e-06,0.000272251950013
Cidec,1.77393146582714,2.3051166633098,7.29313722620367,0.0069218499434561,0.0478013012153388
Atp2b2,1.61551984082719,1.39181114964987,8.86247427163676,0.0029109273733846,0.0260257746034264
Ckm,-11.6925283064339,1.44110354220351,10.236277341706,0.0013770521940803,0.0152554098229855
Rtn2,-2.20505413279246,-0.282394209806121,8.84508082851788,0.0029387988313348,0.026187089251794
Sbk2,-5.63940299830659,-2.2208214990195,5.21750608499455,0.0223605968237266,0.107602799766434
Cyp2b10,-1.90089386277266,5.15996957138882,10.21770709433,0.0013909867315811,0.0153037260089852
Lypd5,-8.57030438563603,-2.3837246571045,6.44348637699451,0.0111359882291771,0.0664912777197361
Entrep2,2.78961539343577,-1.14896943030084,10.8538484555811,0.0009859065125365,0.0118858985742154
Mesp2,-2.33820385468684,-1.22117912248279,6.8193881579144,0.0090173456120675,0.0575900263360961
Synm,-2.54787113310229,0.892289448882892,15.6617409773448,7.57409015134493e-05,0.0018356878787491
Ryr1,-6.56648483114312,0.493998155678864,15.949558400899,6.50529531815255e-05,0.0016506928723172
Mylpf,-4.46436110889635,1.49048573057696,17.0042213616878,3.7296804681519e-05,0.0010939939809885
Atp2a1,-8.16242534225546,1.95825231255886,12.7778313139113,0.0003507513293204,0.0057686324593794
Cox6a2,-6.16452085695763,-0.262436919526381,9.60488506832291,0.0019406042230067,0.0193769513485238
Stx1b,1.79931569138278,2.69798423520181,30.1007551538111,4.10171463924661e-08,5.08294652891445e-06
Fgf21,1.93510612590052,3.79487546661965,8.53973464079382,0.0034747628632516,0.0295465740063515
Art1,-7.24219919939639,-2.41155544797719,7.48761349876209,0.0062124835632216,0.0443360545721698
Wee1,-3.02529187473952,3.58535154074038,16.9178477363266,3.90328508483255e-05,0.0011256762249121
Tnni2,-10.2719741043412,1.7845878248869,12.0140625452477,0.0005280063935083,0.0076248511351615
Serpina7,1.79307369386595,5.46716550008316,12.2451391677777,0.0004664717422948,0.0070548886209327
Itgb1bp2,-3.40830857452579,-2.09287127106281,6.50139288122271,0.010779001604475,0.0650483652884625
Nsdhl,-1.54430975475266,5.29776242124426,14.8710359081873,0.0001151170403561,0.0025174569181027
Trex2,-6.38189107136823,-3.10086866157586,5.19851174798359,0.0226062350868969,0.108523505735476
Myom2,-10.2287811697788,-0.714260451622449,7.62814666291881,0.0057464322236146,0.042177440554042
Pdgfrl,-3.57076190293066,-1.17290636884995,20.5129646077835,5.92287210066414e-06,0.0002630084261144
Slc25a4,-1.62413095449766,2.98946050230377,7.82891657288425,0.005141691022112,0.0390104758801531
Pdlim3,-3.12683422094476,-0.947869102393074,6.90411390012387,0.0085997637041249,0.0554354470656405
Lrp2bp,-1.74081293219741,-0.0922615050831305,10.1894096189889,0.0014124953156607,0.0154870714102558
Irx3,-2.80281497256696,-0.411264383309744,15.2284763294995,9.52561713953067e-05,0.0021722755434028
Mt4,-9.30933908584132,-1.5149265244466,9.36348382709504,0.0022135102050861,0.0212141331765626
Tmem38a,-1.77463283518003,1.47512634547042,11.4652188125692,0.0007091088118041,0.0093839515442889
Pbx4,-4.2881242173059,-1.92864558413363,6.15607098830057,0.0130961792517187,0.0740716078363435
Lpar2,-2.36179069609179,0.203997717165234,7.66720622099652,0.0056233458830049,0.0416951796315941
Acta1,-15.1388089463376,4.25911382407819,26.793233862653,2.26428744574422e-07,2.02217313450654e-05
Usp2,-3.16655672816017,4.97247296117237,11.8263296585637,0.0005839899609805,0.0082291860847734
Trim29,-5.1554188121333,-2.67155170535533,4.084948977087,0.0432667575843235,0.167030922609089
Barx2,-6.86239166748068,-2.94245525293767,6.97050922199332,0.0082863912513603,0.0539797271981444
Cryab,-1.77111507699204,1.86180103010056,12.4109045509638,0.0004268340650826,0.0066310683813519
Apoa4,2.98771783904532,7.53424674976826,37.6818973209858,8.32737809028224e-10,2.04802255617311e-07
Treh,1.65414843092679,0.0829738951074215,7.37406874002399,0.0066171048355255,0.0462727890174138
Hyou1,1.65311839471824,7.683968803454,21.2334048518963,4.06615635768661e-06,0.0001951999265284
Olfm2,-1.98824198591956,-0.0618266474993914,12.5338195808641,0.0003996520083784,0.0063130800453926
Fam81a,-2.03780519838594,0.493163702209198,15.873672316528,6.77141765887424e-05,0.0017020107341944
Elovl4,-7.41510155676781,-2.78944982977838,9.3327143932218,0.0022509867317859,0.0214959820157291
Acsbg1,-2.89529951129722,-1.01237980232559,4.31106310580237,0.0378652914785288,0.152895819544269
Nrg4,-1.5090213610386,2.64548149558975,19.0472061982297,1.27524335330895e-05,0.0004729939732249
Dclk3,-1.91281095954469,3.59792095242805,23.8322951319597,1.05104158293114e-06,6.77498013900691e-05
Manf,2.11336296933839,6.68688148848105,25.8408672632652,3.70754764503915e-07,2.89709631349419e-05
Cish,-2.19205990436497,2.8021503074575,4.90655134871888,0.0267550085764426,0.121680104438979
Mst1r,-2.18354381797712,-0.936648766387687,16.2217221256096,5.63443337286956e-05,0.001514541071632
Fhl3,-2.57495613126721,0.481625962992798,18.2992090453609,1.88785535574219e-05,0.0006504149938985
Pygm,-4.13753368978558,1.99168761155858,18.744105626754,1.49484686735424e-05,0.0005349527767445
Alas1,-1.7572163954785,8.49238126248967,8.59109747814015,0.0033781035767058,0.0289712252023711
Pdxk,-1.5699494839668,5.19929620716107,31.6755430939468,1.82202311839775e-08,2.55498785707951e-06
Srxn1,1.70551777336036,5.26044775863455,70.1780634575032,5.41856652952552e-17,1.7324240908199e-13
Alox12b,-8.31692021563768,-2.3723360300787,6.07433606062936,0.0137159844982563,0.0763453092580517
Igdcc4,-2.60295403648434,-1.48108826940602,6.79136281561422,0.0091599954433426,0.0581770707815953
Cspg4,-2.42906317687965,-1.94118565389207,4.78085949531709,0.0287777537989599,0.127657872247388
Ucp3,-3.60158939402299,-1.95444870468926,4.49102792118818,0.0340731840124101,0.141926873039783
Dhrs7c,-6.25424977283057,-2.77368779002248,4.59858606743929,0.0319983358527847,0.136771496508721
Myh2,-9.4970598525424,1.02871586204648,7.11922440174092,0.0076261691187101,0.051065136506668
Asprv1,-8.33642175765402,0.429322873249785,15.6883260877641,7.46837002927431e-05,0.0018199598062191
Calm4,-8.41315349027568,-0.996946911698667,6.3620173908601,0.0116588907517302,0.0686311391753802
Scx,-1.5991756179228,-1.82484853824559,4.57553572478633,0.0324316036143268,0.137593316183288
