V1,Control.F.6-Acarbose.F.6_logFC,Control.F.6-Acarbose.F.6_logCPM,Control.F.6-Acarbose.F.6_LR,Control.F.6-Acarbose.F.6_PValue,Control.F.6-Acarbose.F.6_FDR
Slc41a2,-1.99344528711064,4.06691711462632,15.8066760086673,7.01545369128209e-05,0.0028716714345738
Dusp5,-1.90812662029199,-0.146233124474805,17.4446184576821,2.9580050232578e-05,0.0015606161155709
Cxcl10,-2.15056531595198,1.04040537969965,15.4395498521957,8.5186677123708e-05,0.003313367933089
Ncaph,-2.7856721404145,-1.30204146849958,16.0333028213956,6.22380509282423e-05,0.0026725929168642
Wnk4,-1.62882537768088,1.68749959329532,17.4552303854828,2.94153837505919e-05,0.0015570673001223
Ubd,-3.22189201212106,-1.37935343685713,9.77851534581382,0.0017656282357113,0.0289490594626474
1810055G02Rik,1.56195029090502,5.19124332372675,19.9508005337835,7.94606784030553e-06,0.0005849959620986
Ccl2,-4.90440494571417,-1.02168723701019,36.0029992201045,1.97014047773483e-09,1.08602295438169e-06
Ccr3,-3.39185254272957,-0.333966618337363,12.3172379518368,0.0004487943008007,0.0111577382466564
Cdcp1,1.94043462594992,1.56733811981287,4.23196485041311,0.0396694919393997,0.201767896323017
Gadd45a,-1.56442227857041,2.26443199903745,8.59887825713101,0.0033637012400405,0.0435401846342408
Abcc12,-2.59988628912495,-1.13321004703526,13.1480935239345,0.0002878119382522,0.0080156126217789
Asap3,-1.88364891743941,3.72329512954842,35.572713835605,2.4570525070024e-09,1.22745129302939e-06
Mycn,-2.0922517491203,0.254117306122683,9.92925177612686,0.0016267264679172,0.0273735255959216
Aldh3b3,-1.54545721575795,0.246893548468683,6.74230732153729,0.0094152774332604,0.0826538303394293
Slc9a7,-1.59714752373284,-1.3818672181101,4.04944679139425,0.0441858226244403,0.215155211841091
Htra4,1.80565992053574,-0.253880969276952,8.57332451497346,0.003411237181964,0.0439420125631571
Shank2,-1.64701488725414,3.82732507300719,23.6844539025436,1.13495656697023e-06,0.0001463178683837
Zbtb42,-1.6106366081285,2.99960913581226,29.0232308593746,7.15155193355798e-08,1.73219256378573e-05
Mat1a,1.69726842840154,11.8581732877185,61.157869381478,5.2676794583597804e-15,2.4799299048500498e-11
Egr2,-3.27220005161356,-2.01523174799885,13.1764084949101,0.0002834955664003,0.0079389566755598
A4gnt,3.29237879913577,-1.62983185838901,3.88089232538741,0.0488385938017858,0.228351494739792
Gstp2,-2.05890525452463,6.01384326819781,24.7398241289091,6.56143023996362e-07,9.62302970789527e-05
Pcp4l1,1.84603960795601,5.35429042746075,13.975121244423,0.0001852456991954,0.0058640351432444
Gdf15,-1.67997620284332,3.10684049680721,7.58075131519877,0.0058994846254025,0.0627055593229284
Ptk6,3.35431188185271,0.268026257436892,17.0558865862472,3.62956878574283e-05,0.0017853011264272
Fam117a,-1.64103214947242,1.34436809372641,21.537332821168,3.47007144096553e-06,0.0003244009476916
3930402G23Rik,2.76495705732065,0.0955398832926723,11.3491364110227,0.0007548306049271,0.0161104433249205
Prc1,-1.6751215597598,-1.0268448457542,7.46435919739329,0.0062932428613244,0.0649056647620215
Ppl,-1.92429893329465,4.31598459202872,16.6223290326894,4.56108719439343e-05,0.0021319748505723
Tspyl4,1.72241059657105,1.94776192183896,12.8533228673902,0.000336880500449,0.0088867519474886
Rsph4a,2.3843596210263,-0.521819775574264,17.7603007248886,2.50557194778959e-05,0.0013623834407266
Odad3,1.89480688149543,1.71928819936208,23.363425214512,1.34104261522436e-06,0.0001649069788228
Saa3,-1.50092711386592,1.68878963832361,7.4341793301183,0.0063996541583493,0.0656751936419127
Disp2,3.62508114839729,1.18555000187161,5.85097033217413,0.0155684646804721,0.114007089501616
Bub1b,-1.8928871568104,-1.22404048908411,7.62980335776901,0.0057411561768845,0.0617618591141838
Igsf23,-4.19993723201502,2.19558235663199,8.83855968136396,0.002949318125384,0.0399557623325332
Rundc3b,-1.56537916244674,-0.930103628315335,8.68977251918395,0.0032000056063918,0.0419994167682921
Abcb1a,-2.10757682938851,3.30215019254201,25.4826297174104,4.46383780113255e-07,7.28152153968417e-05
Npnt,3.06136555645925,0.451698778130908,14.2127519294908,0.0001632603932443,0.0053046354601697
Grid1,1.6584708550253,0.553689054556795,10.8221048862759,0.0010029540048186,0.0195288949099027
Pla2g5,-5.07749088963016,-0.893298018744496,6.75124630883694,0.0093682223294497,0.0824671818053871
Arhgap11a,-1.64849373969327,-0.0125707963141597,17.8311244004667,2.4140202485284e-05,0.0013170828564155
Pnpla3,-2.93672810016917,-0.0869015786949562,6.85592180194095,0.0088347964914103,0.0796576744002743
Rasl12,-1.98860468878803,-1.0890108408879,4.92173932527498,0.0265208044827499,0.15887627990408
Rassf4,-1.50253053035086,2.88199545940549,4.7914532361559,0.0286012857413751,0.166443448802921
Bex2,-4.54074437388769,-2.44106988476199,9.00976976073421,0.0026854024593345,0.0375580434951204
Otud1,-1.77256989525709,3.30291277116654,40.1277931848044,2.3788033291062e-10,2.00145000100483e-07
Ncmap,2.85494241083075,0.965381240850008,18.6200591435026,1.59533086280883e-05,0.0009771248725234
Il20rb,-1.58119546042989,-1.10708452025601,5.01031184847979,0.0251967679999038,0.154175173218347
Slc15a5,2.26333819557061,1.39317400872028,14.2518719131643,0.0001599016892048,0.0052488468247011
Ackr2,2.78218289479989,1.70374160550053,47.832658025052,4.64194937340084e-12,7.420620268318581e-09
Serpinb1a,2.61659738060201,4.43056897980211,16.9501317437311,3.83746566819031e-05,0.0018646117377413
Tlr1,-1.94649930901534,-0.944882447801068,13.3956338965915,0.0002522106903908,0.0073306183574319
Klhl31,4.71027105649248,-1.90272770284273,7.3542180748116,0.0066905601047121,0.067309813614807
Hcar2,-2.25901761975813,-1.10272443979792,6.98772669464327,0.0082070526030171,0.0762335519534177
Slc16a5,1.978186663986,4.83286331398434,14.8281257487485,0.0001177660110612,0.0041285251158462
