V1,Control.F.12-Rapamycin.F.12_logFC,Control.F.12-Rapamycin.F.12_logCPM,Control.F.12-Rapamycin.F.12_LR,Control.F.12-Rapamycin.F.12_PValue,Control.F.12-Rapamycin.F.12_FDR
Ighg1,6.79483398624006,-0.0951519197295807,24.5094997012482,7.39443632227675e-07,0.0010746132640719
Gm10941,2.85049025788497,-2.07439018814799,4.92251058489845,0.0265089683863129,0.364513740678184
Cyp4a12b,-3.98425885950275,5.50533515274377,5.62227871977235,0.0177335774726157,0.322146556224129
Tgtp1,1.58756314762406,1.81869109022983,7.68640613148069,0.0055638312323854,0.192779843532106
Dynlt2a2,1.77876321509932,-0.969788314457772,4.47832571568475,0.0343273337065026,0.387266589013515
Gm11175,1.57732711117362,1.90795057648476,9.21369412630671,0.0024021149257484,0.14462798603412
Gm15526,2.29213455965127,-1.704715943109,4.94657058685985,0.0261424763932268,0.363087426257275
Mir142hg,1.58614129919224,-0.354092570752587,9.45399666958478,0.0021068950997638,0.139176963077791
Gm11419,3.36857251607519,-1.05820825715662,8.13409859042694,0.0043440438286971,0.173609711613883
Gm13166,4.75097020358497,-1.7574956402821,7.38016148264565,0.0065947248578863,0.207708661910069
4930412C18Rik,2.82707083858892,0.632739525271453,6.27606976763317,0.0122379218487409,0.27515530052598
Gm12059,-2.11452001648951,-0.792529112103201,7.40207136239671,0.0065148817601836,0.206798219176681
Gm12905,1.88486595878593,-0.608947637893085,5.92508492007195,0.014926818916974,0.300151103404712
2610507I01Rik,5.30230794392743,2.94407248486216,15.4900208913068,8.29419784664049e-05,0.022860525306275
Gm12718,2.05821966831971,0.898452461400295,7.24372284599165,0.0071149303905923,0.217059689358797
Gm11454,-2.52141584079503,-2.04466572927289,3.8720188721108,0.0490974295748244,0.43139012064488
B130055M24Rik,1.72764150124552,-0.698523219973795,5.60643392868508,0.0178946443577516,0.322341051241257
Chn1os3,1.53056549326962,0.185627292041086,14.4267270593704,0.0001457194498661,0.0298650144302656
4930481A15Rik,-4.65098784155842,-0.346440802479189,11.252046153325,0.0007953529070682,0.0851125611581749
Gm15409,1.64867716895563,-0.322463373551653,5.4280059929233,0.0198162934870714,0.330181080870493
Gm12494,2.9381477710883,-0.634643314689541,7.760164708098,0.0053411089579951,0.187558399930576
Gm17077,-1.67254359897598,0.0012960569351107,11.8096769680961,0.000589236550683,0.0726717193661665
A930033H14Rik,1.75867860009896,1.56048035771827,6.12870643385629,0.0133004150171153,0.285274137590546
Hspa1b,-3.20776098284868,5.00898137439364,14.5857571824882,0.0001339229448483,0.0293272903608953
H2af-ps2,5.59514584453388,1.29247450206698,13.9250103695078,0.000190250061979,0.0353867285902089
Hspa1a,-2.9742357998355,2.73899771176192,12.3183153958495,0.0004485353200998,0.064020407384965
Ankrd40cl,1.68483014356408,-0.663296316985372,4.38673438570002,0.0362196241014692,0.392800090154958
Mup-ps6,3.25630137539614,-1.59829673063867,6.77789574725003,0.0092293632009824,0.239513961251468
Gm21451,2.09582797863333,-1.40450687974469,3.89421081585982,0.0484527982059368,0.429079146212416
Igha,3.54658455182321,1.02711315163275,16.9281413504433,3.88217653930897e-05,0.0147763033708079
Hsd3b4,-4.26904453710854,-1.69796440715933,5.85295106881303,0.0155509521459048,0.307670199262913
Hsd3b8,-3.01940645463202,-1.62963769299178,4.84183164843429,0.0277773763473501,0.3681999488298
Gm16998,1.78332461842517,-1.17548597580908,6.9479978784061,0.0083913093806561,0.233292994363772
Gm26596,2.02555417518196,-0.532496870134883,9.57463374232868,0.0019728420654187,0.13535559338105
B430218F22Rik,1.58123776231703,0.108830612166418,7.0973781625561,0.007719679261481,0.22460417119126
2610037D02Rik,1.78149745008416,-0.597478770777446,4.12740972725803,0.0421938882451523,0.412578884829163
Gm2093,4.24826832698987,-1.68494270861515,4.38892869855743,0.0361730356620836,0.392800090154958
Gm10532,1.99917721698913,-0.134289460010655,5.71126441337826,0.0168563940753969,0.316733131964036
Gm26747,2.68075105761727,-2.09997229655113,3.94105769853746,0.0471211414831166,0.426979232260678
Gm17971,2.48474062644953,-0.764970711648287,5.97107109644934,0.0145424450039092,0.297108572272856
Gm37090,1.90727862519111,-0.56027441233808,7.78331368978318,0.0052730987203984,0.187227893748019
Ighd,1.84565982529941,0.069966937242891,12.1025254826243,0.0005035357598293,0.0676430475347241
Gm43858,1.55280565337465,-0.735501636263408,7.04307309650611,0.0079572383786117,0.225940342309925
Gm43609,1.6011161269173,0.439040861374943,6.00562488926539,0.0142603426640183,0.294529506236429
Gm42507,2.48261463842168,-0.326823392929902,4.69950230217563,0.030171353152248,0.375888934462027
Gm42670,-1.66834112432912,-0.885646586153246,7.32016845464842,0.0068185020798857,0.212476752922132
Gm44321,4.87324214750557,-1.31605093031728,9.00927785433177,0.0026861253096696,0.14787441967776
1700126G02Rik,2.15947675828001,-0.808033397627391,8.14931390872063,0.0043077455779478,0.173024172887122
Gm7298,2.82802355049354,0.703838097310694,6.84345232559923,0.008896674057479,0.238198712841362
Gm44706,1.64210168985306,1.16606407872604,7.23362038937131,0.0071550771659783,0.217504372385163
Gm45110,2.47306208330812,-1.12002068673911,4.22486375686465,0.039835817274785,0.407404593308859
Gm44662,-2.91807388524983,4.04835642717381,9.46665068627556,0.0020924106104544,0.139176963077791
4933431C10Rik,1.84269177265192,-0.728860102963016,4.91512968377367,0.0266224645386402,0.364513740678184
Gm31522,2.69961282713714,-1.11896787701247,6.1347156737815,0.0132552861053375,0.285274137590546
Gm45548,1.59667794089326,-1.6004862213161,5.28327887865457,0.0215311636836023,0.340493802548974
Gm45606,1.93862231367234,-1.03269331879497,6.88663393119678,0.0086842647843044,0.235581613989639
Gm45515,1.6107002217032,-1.00196566753266,6.24060823358104,0.012485359017953,0.275934068910814
Gm45819,2.22220057475664,0.792439017119501,3.94733093559211,0.0469457728155354,0.425922317950709
Gm45412,1.5071793238513,-0.448514457247624,10.9739999801694,0.0009239910285661,0.0934868391307481
Gm45540,1.91319702107429,-1.1811491157334,3.90371491468994,0.0481794613905163,0.428840127944763
Gm45909,1.83525231471162,0.751898298729783,4.40314747450691,0.0358726664020618,0.391440576862362
Iqcn,2.47775120057567,-0.816489896054644,4.33091539992385,0.0374261128746147,0.397801755594143
Gm6545,1.62348438087197,-0.500349189016848,4.29737793778753,0.0381711810774028,0.400152590632715
Gm49759,1.52373960524385,-0.922756767960486,4.38563586324935,0.0362429709107071,0.392800090154958
Gm40787,1.96426428975998,0.77541759525117,5.38240592962836,0.0203408082060186,0.3348796704237
Gm31834,-1.64268463826378,-0.480517771580721,8.50264768511737,0.0035463007136502,0.162905641403484
Gm30127,4.49101272929335,-1.86472815705201,4.86781858613568,0.0273620674846861,0.367365541845238
Gm10366,4.88109990639104,-0.709494826160934,10.7099483904641,0.0010656100156811,0.0999879751793555
Gm46565,1.92340029777022,-0.96395426962536,7.06548742374925,0.0078582931222728,0.225405181257979
Gm49980,4.54247873020378,2.92610303437911,7.40048487600805,0.0065206298817733,0.206798219176681
Gm36787,2.2707645416679,-0.78428851068077,4.4956693561559,0.0339808080081038,0.386483672510082
Gm3734,3.71730161125942,3.02058602170455,5.6986248795664,0.0169782098292916,0.317442879919363
Gm50253,1.90911568590398,0.175598345844494,8.0067276326191,0.0046603878384638,0.17996613584679
Zfp33b,4.45468850764852,0.322752604998415,5.20889544932962,0.0224716066421369,0.342777770783589
Gm57061,1.50339569370231,1.10492502065796,6.05232011854091,0.0138880365812665,0.289926683966021
C920006O11Rik,2.61986055186291,-0.132096615538433,9.24188227316736,0.0023654168295289,0.14462798603412
