V1,Control.M.6-alphaestradiol.M.6_logFC,Control.M.6-alphaestradiol.M.6_logCPM,Control.M.6-alphaestradiol.M.6_LR,Control.M.6-alphaestradiol.M.6_PValue,Control.M.6-alphaestradiol.M.6_FDR
Dmtn,-2.68027406935005,-0.884149443954215,12.1981539243209,0.0004783683100399,0.0664973548199813
Oxct1,-3.35728695913511,1.5896870018494,29.6270448252301,5.23691418225384e-08,8.37173101175099e-05
Pdzd2,-1.80290272962839,-0.0051963353761523,9.80333754777897,0.0017419543658214,0.150523689146061
Sdf2l1,1.80682433068056,4.97215793467443,10.8952185224383,0.0009641281416185,0.102750349812765
Nr4a1,-3.1583795672045,2.55698572566599,11.5957583733356,0.0006610241273736,0.0838443617730913
Cdkn1a,2.33646165581455,3.450394007458,5.28630759052493,0.0214937460931592,0.590376331692857
Creld2,1.62045745469337,5.81769852749814,9.95121796578977,0.0016074301438787,0.140417367650526
C1qtnf12,-1.64678842223626,0.327750588048387,11.1373908259151,0.0008460481256209,0.0966066095441139
Gm8615,2.19756551674205,1.57342207694999,4.27819692180259,0.0386042794500311,0.762142798363568
Slc4a9,-2.03082401944992,1.36142148286057,8.22221525962615,0.0041380655155291,0.26596406609403
Spink1,-8.06147964967271,0.717872451644342,19.8758287515196,8.2638598429989e-06,0.003885472454417
Trpm6,-2.35169510126876,-0.0456694460371696,6.29877329953878,0.012082155294575,0.463476080668067
Vldlr,-1.57047551169202,3.59837374748156,7.03620658547828,0.0079878039758047,0.378015268823939
Cyp2c39,-2.89576232286057,7.74616676028829,17.933511847142,2.28757514960281e-05,0.0089193113028172
Dntt,-1.67686924173873,1.2917721769298,11.0620051752027,0.0008811479823323,0.0991974059546787
Scd3,-2.03850310445088,1.82652436620322,5.69007269262853,0.0170611478312337,0.535593599868969
Slc6a20b,-1.88854859641977,0.535653719758371,17.751971113081,2.51656618302332e-05,0.0095222341328689
Itgb8,-2.74071901727195,-0.825395096948445,14.2429733021443,0.000160659526614,0.0325101669930594
Cd63,-2.72862490296731,2.15201539913705,26.0096955247915,3.39707052018165e-07,0.0003394098083476
Rpl7-ps8,-1.77259679212849,0.355020658553955,5.36383538827364,0.0205585116552594,0.574560082728981
Vil1,-4.91539729790116,1.15750343046415,21.1787593544417,4.18375623897394e-06,0.0022293842412079
Efhd1,-2.72033734286824,-1.21992798816338,7.77868662538041,0.0052866217907882,0.307316130718331
Rgs16,2.04711506431702,6.11508222926783,5.82266706165498,0.0158209375378907,0.517585754142562
Atf3,-2.08433389629999,0.993037191703775,14.1225692991467,0.0001712763988807,0.0332044820879645
Plxdc2,-1.94176957804489,-0.856531249253024,10.4553904863184,0.0012229205901176,0.11706352427318
Lrp2,-6.02938836499087,1.32779658785861,24.8964795546191,6.04927916105035e-07,0.0004835188833427
Hoxd8,-3.59459253396799,-2.1337216770915,4.50856437716442,0.0337255363029241,0.721735506477301
Spint1,-2.29752847805016,-0.663549001082085,13.0547766329432,0.0003025119102773,0.0493464836499315
Fermt1,-1.61745417042757,0.110732110716923,10.7516343909096,0.0010418726671721,0.105796533517756
Il1b,-2.01239056621165,0.461317084230738,13.2592650715608,0.0002712359647205,0.0463403198442815
Acss1,-3.37776098322871,-0.755886105117575,12.0563247357707,0.0005161695467543,0.0711335032277157
Slc52a3,-1.97056537908962,-0.977570199921888,11.1490226790165,0.0008407595585631,0.0966066095441139
Car2,-1.60379177977538,2.42973508497159,15.7307350778564,7.30278752726765e-05,0.0191380920345739
Chrna4,-4.9183223770203,1.44198754803788,19.5108515912723,1.00029810999578e-05,0.0045687901675407
