V1,Control.M.12-CR.M.12_logFC,Control.M.12-CR.M.12_logCPM,Control.M.12-CR.M.12_LR,Control.M.12-CR.M.12_PValue,Control.M.12-CR.M.12_FDR
Hrk,-2.07962194725436,-1.69639783090249,6.24442454208973,0.0124584852490784,0.112584140865894
Depp1,2.32876290776789,6.35799681588954,18.2327708409057,1.95486223017282e-05,0.0011882291867506
Cd300e,-2.69818418546818,0.673567442446876,7.47373966484618,0.0062605375016588,0.0723128269519645
Rd3,2.00198721916548,0.837808745836344,23.0621626067298,1.56847148523092e-06,0.0001885231967135
Pls1,1.85791297850945,-0.268780333122857,5.37398792727879,0.0204391958604338,0.152682703282661
Tsku,-2.37705421172724,6.29839940127693,15.2065393312727,9.63691277944072e-05,0.0038513921923034
Tnfsf15,-4.03806612757098,-1.7163682665187,4.89142146802399,0.026990455303532,0.180758030365422
Fhip1a,1.58157681904566,1.93777816620565,18.9175184851142,1.36493477190489e-05,0.0009206686609144
Vtcn1,2.6087949985176,0.753346378218681,10.0532261689049,0.0015208137918115,0.0273472770257584
Lrrc15,-1.97062263461337,1.17945124359023,11.7701381112348,0.0006018851229515,0.014556332186844
Acot4,-1.6153059865829,6.86643694639215,18.3445444333282,1.84346099191796e-05,0.0011378211357838
Fcnaos,-2.87413800192582,-0.928963166939028,16.2680327372545,5.49837882716767e-05,0.0025602796004392
Tchh,-2.01044210194626,0.311335619331537,15.3281710504676,9.03589474454296e-05,0.0036980823820384
Pkdrej,2.09915091801282,0.404634416183513,7.37645787300652,0.0066083197988132,0.0749033361700829
St6galnac3,2.34452928435728,-0.309994588795266,18.7673024193449,1.47677410018069e-05,0.0009676128943861
Junb,1.53212850827156,5.25822779891853,10.7299876860015,0.0010541314799289,0.0212233574787707
Slc22a26,-1.56894346522843,5.8924353438213,6.00684352178732,0.0142504970111036,0.123272968192372
2310001K24Rik,-4.98721875465814,-0.842623091557473,11.4398873639032,0.0007188414842504,0.0165106321368219
Slc51b,-1.9348779116889,-0.77580602127372,6.21730455670513,0.0126507567730249,0.113706185818749
A930004D18Rik,-1.62610289899035,0.442393129769557,16.2331601131629,5.60051841599179e-05,0.0025726979137369
Lrtm2,-1.8290952662437,-0.559926473235917,4.08549108848343,0.0432528805513561,0.241298792658448
Wdr86,1.59591016692529,-0.144559423259339,4.68383690626416,0.030447669357202,0.194346086669704
Per2,-1.60742135716695,4.60228999757897,12.2700611950495,0.0004602831770876,0.0122024657859425
S100a9,1.74847607618328,0.0614515741235923,6.8246716622683,0.0089907082922731,0.0901415815504655
Unc93a2,1.61715188657389,2.21145870193659,20.7695228191514,5.18007943752189e-06,0.0004507997506261
Med12l,-1.7939562978092,0.253122994787436,6.19324816942007,0.0128238599078138,0.114718648285569
Chd9,-1.67846478024257,5.44577064094146,18.4903973382252,1.70762504992922e-05,0.001070513492085
Ces1d,-1.81439500468324,9.46155713040296,33.3236220824326,7.80290442890086e-09,2.6539836212853e-06
Hamp2,-6.71542016926526,8.01564915113789,11.7823613484385,0.0005979458736211,0.0144829738419805
Saa2,2.92275715748252,5.02272982326838,7.87066915186722,0.0050243057283351,0.0617835010562809
Mex3b,-1.57454171902004,-0.553079347904917,8.17621356414519,0.0042443263766155,0.0558392175099619
Prtn3,4.46855812965665,-0.705912324374984,12.4480257377366,0.0004184338773308,0.0114343315607025
Gsta2,-1.79471526727956,5.13179277356781,20.4979697991962,5.9694534059069e-06,0.0004944439489472
Col25a1,1.77075606193094,-0.957179461905316,7.40887588576436,0.0064902863840803,0.0740569008821616
Gm12715,-1.88964450748278,4.8520996751704,55.9264592319804,7.523319534299431e-14,1.33630873417012e-10
Dbp,3.34829439379344,5.96679013967269,11.1064072076199,0.0008602998780425,0.0186099510830697
Atp8b4,1.90833081228134,0.30088124202231,16.2505619155324,5.5493133830284e-05,0.0025602796004392
Klk1b22,6.31617911555001,-2.09346451241342,4.87732223609466,0.027211802828255,0.181680245906404
Caln1,-1.62436251774438,2.11804668138116,20.029128742239,7.62714375486057e-06,0.0005947683905619
Nuggc,3.70781219431223,0.88233662983088,21.5531644015937,3.44154362413743e-06,0.000327508369631
Cyp26c1,-1.83666802843471,-1.40345811072038,5.71963485115958,0.0167762190001855,0.135927337525071
Syt9,1.97263574078432,-0.109396323875967,14.2081062278606,0.0001636639479627,0.0058011793173681
Zfp677,-1.7639068753682,-1.33849419313066,5.84557676168414,0.0156162546010638,0.1311831035484
Actg1,-1.94777887538237,6.66130825713583,57.815366410502,2.87911783806019e-14,5.75319721990378e-11
Cyp26b1,-3.58991121192606,3.02207249856409,18.7029306779508,1.52747540820103e-05,0.0009846057207863
Mapk15,1.57108185376863,3.87846699393067,21.9400420842904,2.81302729337627e-06,0.0002828242409554
Cyp4a10,-4.96405452960864,10.3342138332652,44.1367551297756,3.06216764229723e-11,2.57641115419808e-08
Adamtsl1,-1.67350584548266,-0.539885628369211,7.88354602666945,0.0049886568436073,0.0615212217072562
Unc93a,2.61530423493534,-0.651148286274708,10.6172639486541,0.0011203669812216,0.0221935397296274
Nipal1,-2.02146069864197,3.19605296494157,6.10822346508192,0.0134554310500127,0.118446322007436
Sort1,1.56905561978731,3.62143327701388,14.3412737680125,0.0001524848131154,0.0054901401406842
Adgrv1,2.57426654420338,0.989583649334085,18.5382711363811,1.66526769015989e-05,0.0010480696572793
Cd300ld4,-1.82323100181839,-1.35488784617694,4.68865791141442,0.0303623535461483,0.194226724205173
Trim80,-3.29694672813839,0.322520736437638,4.15246401393401,0.0415739847451793,0.235368995483392
Gm20634,-2.01305815470421,-0.69435323790384,11.5865898987323,0.0006642911520014,0.0155253777132978
Gm10419,2.47174686280927,-1.96370471315416,4.19776538757371,0.0404772845458002,0.231344251251041
Nup62cl,-1.66029613311747,-1.0353750662214,4.74308805530084,0.0294162240411119,0.190537989271157
Acot1,-2.34482868155319,7.14734019687402,20.4118931864612,6.24405390198848e-06,0.000511884336806
Bhlhb9,-1.579308455894,1.19619816589511,7.13139748384202,0.0075745669454924,0.08170514655239
Gm10475,2.10775621451981,-0.615625641599775,4.50960332254633,0.0337050566063602,0.206282172629891
Mup-ps12,3.77328051459725,2.17771296577469,12.7267477506046,0.000360462834673,0.0103268080198615
Mup-ps2,2.61646413599566,1.81973855331105,12.3514006700134,0.0004406557379235,0.0117798037231546
Saa1,2.08507871020864,6.41301035382491,4.65922559328743,0.0308871192754866,0.195802198867633
Gsta5,-2.23301398239442,2.56466040548084,18.0743058440686,2.12449085723202e-05,0.0012525225655844
Gsta1,-1.95411913810107,4.40914955618558,20.6539739841784,5.50228637662294e-06,0.0004703719252229
Cyp2a4,-4.75248112990217,8.54001093747207,31.5619155262312,1.93181342932852e-08,5.50811066458259e-06
Gm6166,3.60063536619138,2.76653569499033,13.0845123829056,0.0002977473315,0.0090291183755995
Zfp1003,-2.79726866331771,4.63670632102166,30.4004537346377,3.51445943274297e-08,9.21018827734904e-06
Arrdc3,2.00996493205822,7.03994531533559,11.9522108391083,0.0005458257484695,0.0136768775327359
Cyp3a41a,1.69696763792549,8.53647417761758,5.45900729276531,0.0194677038054898,0.148363141345247
Ly6a,1.74962781006428,3.64074039956261,4.91224632571297,0.0266669390431993,0.179569371333018
Ighm,2.44632187368712,4.33975890607882,14.6822330948696,0.0001272400552177,0.0047860224063768
Klhdc7a,1.77620944408645,5.51016229237126,23.5219072409948,1.23499516775608e-06,0.0001568171132612
Sprr2a1,-5.00259693372285,-2.47759834640753,4.00979092424483,0.0452367600885733,0.247740612119196
Mup-ps4,9.97862051555368,2.67100756319764,34.1945859235094,4.98674986077643e-09,1.77151518387493e-06
Gm14322,-1.74979718848131,-0.879801198542345,8.47808559695852,0.0035945016998615,0.0503241698695557
Zfp970,-1.51330633656664,3.3500100937429,8.79435063950734,0.0030216477885075,0.0443156527954884
Gm11008,-2.73042096367419,-1.57027411342025,17.1039339189869,3.53889266249653e-05,0.00180743572213
Hsp25-ps1,-2.28068862741075,-1.48644738298661,8.69934296424944,0.0031832477002469,0.046135446723616
Nat8f5,-2.38991134510628,1.22543988824996,23.6742973794131,1.14096220876018e-06,0.0001518868794811
Nat8f6,-1.94326864269714,-0.358755301915881,6.73403909238711,0.0094590171720902,0.0934560250389586
