V1,SnellDwarfMiceControl.M-SnellDwarfMice.M_logFC,SnellDwarfMiceControl.M-SnellDwarfMice.M_logCPM,SnellDwarfMiceControl.M-SnellDwarfMice.M_LR,SnellDwarfMiceControl.M-SnellDwarfMice.M_PValue,SnellDwarfMiceControl.M-SnellDwarfMice.M_FDR
Apc2,-1.87043836294047,-0.834531264642334,7.80659649306976,0.0052055855135672,0.0316600532856302
E2f7,4.9489248854314,-0.673658836179787,33.9295568592639,5.714396295987021e-09,2.35439018524867e-07
Phlda1,1.8896103377256,4.88814352146703,13.2466504097082,0.0002730673803054,0.0030209378142302
Mdm1,-2.22858098371751,-0.0138986819168554,20.2321986780417,6.85887173352756e-06,0.000130375652238
Jsrp1,-6.36662430216932,-1.98603081241227,5.2151170846889,0.0223913391606928,0.0925408344940112
Hcn2,2.23146493872748,-0.725757986655769,10.2713054629253,0.0013511516462468,0.0111452581098568
Cyfip2,1.8076771639256,1.59599616147934,18.0639975313895,2.13602440371762e-05,0.0003527013888457
Btg2,-1.75960065152468,3.37692156017479,14.3102902047519,0.0001550151785075,0.0018744876275501
Castor1,-1.76068804648249,0.852978485792334,21.3865510158519,3.75395230882688e-06,7.76334820296333e-05
Igfbp1,-7.71322480522085,6.46467939376137,61.1351877228084,5.32871761506289e-15,5.60416180840512e-13
Adcy1,-3.38139352549973,0.379068789863341,14.2451023188189,0.0001604778834396,0.0019230880394801
Osbp2,-2.01233003153704,0.336531076886667,10.9421743703204,0.000939997903858,0.008334335269592
Aebp1,-1.77283957759863,1.4669236607507,6.81860126201175,0.0090213197349301,0.0477338063646888
Pgam2,-2.9599898967335,0.168878211556366,8.77480097386942,0.0030542048194891,0.0210603717662505
Arsg,1.6297633855854,4.04176690792157,21.8254657515644,2.98610436719005e-06,6.33101650051726e-05
Lratd1,-2.29875591823439,1.19161575141658,20.5777739807105,5.72570173640443e-06,0.0001117595457364
Ace,-1.56199249900212,0.677684666094693,7.42725577129696,0.0064243238969543,0.0371291546698166
Mrc2,1.78706196958733,0.860728017912724,20.2840669584427,6.67541738033574e-06,0.000127494889178
Cacng1,-4.95751658643224,-1.82934406174661,5.50098106903792,0.0190058078931273,0.0823825501571403
Itgb4,-1.57933771844789,-0.238673273964918,8.77453025147607,0.0030546581600017,0.0210603717662505
